date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:23	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Dec%202023%2011:10:23%20GMT	https://rsave.in/robots.txt		(from )
16:40:24	27370/27370	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:48%20GMT	https://rsave.in/	C:/Yazar/rsave/rsave.in/index.html	(from )
16:40:24	42749/42749	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Mar%202020%2023:27:14%20GMT	https://rsave.in/style.css	C:/Yazar/rsave/rsave.in/style.css	(from https://rsave.in/)
16:40:24	121200/121200	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Dec%202016%2001:31:00%20GMT	https://rsave.in/css/bootstrap.min.css	C:/Yazar/rsave/rsave.in/css/bootstrap.min.css	(from https://rsave.in/)
16:40:24	6094/6094	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Feb%202013%2012:37:14%20GMT	https://rsave.in/css/revslider.css	C:/Yazar/rsave/rsave.in/css/revslider.css	(from https://rsave.in/)
16:40:25	7880/7880	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Dec%202018%2010:16:06%20GMT	https://rsave.in/css/responsive.css	C:/Yazar/rsave/rsave.in/css/responsive.css	(from https://rsave.in/)
16:40:25	2702/2702	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Mar%202020%2023:27:48%20GMT	https://rsave.in/css/colors/blue.css	C:/Yazar/rsave/rsave.in/css/colors/blue.css	(from https://rsave.in/)
16:40:25	5248/5248	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Feb%202013%2020:41:30%20GMT	https://rsave.in/style-switcher/style-switcher.css	C:/Yazar/rsave/rsave.in/style-switcher/style-switcher.css	(from https://rsave.in/)
16:40:26	16958/16958	---M--	200	added ('OK')	image/x-icon	date:Fri,%2027%20Mar%202020%2023:49:28%20GMT	https://rsave.in/image/favicon.ico	C:/Yazar/rsave/rsave.in/image/favicon.ico	(from https://rsave.in/)
16:40:26	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Yazar/rsave/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://rsave.in/)
16:40:27	93436/93436	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/js/jquery-1.8.2.min.js	C:/Yazar/rsave/rsave.in/js/jquery-1.8.2.min.js	(from https://rsave.in/)
16:40:27	495/495	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Jan%202013%2014:20:38%20GMT	https://rsave.in/js/ie.js	C:/Yazar/rsave/rsave.in/js/ie.js	(from https://rsave.in/)
16:40:27	8097/8097	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/js/jquery.easing.1.3.js	C:/Yazar/rsave/rsave.in/js/jquery.easing.1.3.js	(from https://rsave.in/)
16:40:28	15409/15409	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/js/modernizr.custom.js	C:/Yazar/rsave/rsave.in/js/modernizr.custom.js	(from https://rsave.in/)
16:40:28	19769/19769	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2027%20Dec%202019%2010:47:00%20GMT	https://rsave.in/js/ddlevelsmenu.js	C:/Yazar/rsave/rsave.in/js/ddlevelsmenu.js	(from https://rsave.in/)
16:40:28	2548/2548	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/js/tinynav.min.js	C:/Yazar/rsave/rsave.in/js/tinynav.min.js	(from https://rsave.in/)
16:40:29	21493/21493	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/js/jquery.validate.min.js	C:/Yazar/rsave/rsave.in/js/jquery.validate.min.js	(from https://rsave.in/)
16:40:29	16662/16662	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/js/jquery.flexslider-min.js	C:/Yazar/rsave/rsave.in/js/jquery.flexslider-min.js	(from https://rsave.in/)
16:40:30	15650/15650	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/js/jquery.jcarousel.min.js	C:/Yazar/rsave/rsave.in/js/jquery.jcarousel.min.js	(from https://rsave.in/)
16:40:30	1330/1330	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/js/jquery.ui.totop.min.js	C:/Yazar/rsave/rsave.in/js/jquery.ui.totop.min.js	(from https://rsave.in/)
16:40:31	2705/2705	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/js/jquery.fitvids.js	C:/Yazar/rsave/rsave.in/js/jquery.fitvids.js	(from https://rsave.in/)
16:40:31	14373/14373	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/js/jquery.tweet.js	C:/Yazar/rsave/rsave.in/js/jquery.tweet.js	(from https://rsave.in/)
